ST	adk	fumC	gyrB	icd	mdh	purA	recA
10	10	11	4	8	8	8	2
452	76	43	19	37	30	1	25
38	4	26	2	25	5	5	19
2847	6	266	83	24	1	1	2
-	6	4	15	18	24	26	205
5296	6	23	15	18	9	8	7
1196	6	6	33	26	11	8	2
656	10	7	4	8	8	8	2
349	34	36	39	87	67	16	4
NA	NA	NA	NA	NA	NA	NA	NA
5156	17	100	167	96	7	9	167
1643	13	24	58	37	17	11	25
155	6	4	14	16	24	8	14
167	10	11	4	8	8	13	2
5459	17	363	13	128	279	214	2
117	20	45	41	43	5	32	2
164	6	4	32	16	12	8	7
315	4	26	2	25	5	8	19
-	85	88	13	29	59	58	62
2964	35	411	234	342	5	5	95
4741	10	11	418	8	8	8	2
131	53	40	47	13	36	28	29
212	6	29	4	18	11	8	6
354	85	88	78	29	59	58	62
641	9	6	33	131	24	8	7
1172	6	6	14	18	7	18	6
3288	6	7	5	1	8	8	2
93	6	11	4	10	7	8	6
3580	6	65	344	1	11	13	6
-	27	32	24	29	26	19	NA
351	6	95	4	88	7	7	7
48	6	11	4	8	8	8	2
162	9	65	5	1	9	13	6
-	100	291	271	63	5	16	4
3877	10	11	369	8	8	8	2
191	6	29	5	18	11	8	41
127	13	14	19	36	23	11	10
226	10	27	5	8	8	7	2
2076	21	35	61	52	5	77	4
86	9	6	33	33	24	8	7
1276	17	231	167	198	7	157	2
1727	6	19	3	16	11	8	6
156	6	29	32	16	11	8	44
1193	14	14	10	200	17	7	10
6448	6	4	32	1	9	8	6
58	6	4	4	16	24	8	14
-	13	21	13	487	NA	14	15
69	21	35	27	6	5	5	4
5855	10	11	125	12	461	18	2
