filename	isolate_name_alias
S10_CKDN230030191-1A_HGKHYDSX7_L2.fasta	S10_L2
S11_CKDN230030192-1A_HGKHYDSX7_L2.fasta	S11_L2
S11_CKDN230030192-1A_HGKYJDSX7_L1.fasta	S11_L1
S12_CKDN230030193-1A_HGKHYDSX7_L2.fasta	S12_L2
S13_CKDN230030194-1A_HGKHYDSX7_L2.fasta	S13_L2
S13_CKDN230030194-1A_HGLMJDSX7_L1.fasta	S13_L1
S14_CKDN230030195-1A_HGKHYDSX7_L2.fasta	S14_L2
S15_CKDN230030196-1A_HGKHYDSX7_L2.fasta	S15_L2
S16_CKDN230030197-1A_HGKHYDSX7_L2.fasta	S16_L2
S17_CKDN230030198-1A_HGKHYDSX7_L2.fasta	S17_L2
S18_CKDN230030199-1A_HGKHYDSX7_L2.fasta	S18_L2
S19_CKDN230030200-1A_HGKHYDSX7_L2.fasta	S19_L2
S1_CKDN230030184-1A_HGKHYDSX7_L2.fasta	S1_L2
S20_CKDN230030201-1A_HGKHYDSX7_L2.fasta	S20_L2
S21_CKDN230030202-1A_HGKHYDSX7_L2.fasta	S21_L2
S22_CKDN230030203-1A_HGKHYDSX7_L2.fasta	S22_L2
S23_CKDN230030204-1A_HGKHYDSX7_L2.fasta	S23_L2
S24_CKDN230030205-1A_HGKHYDSX7_L2.fasta	S24_L2
S25_CKDN230030206-1A_HGKHYDSX7_L2.fasta	S25_L2
S26_CKDN230030207-1A_HGKHYDSX7_L2.fasta	S26_L2
S27_CKDN230030208-1A_HGKHYDSX7_L2.fasta	S27_L2
S28_CKDN230030209-1A_HGKHYDSX7_L2.fasta	S28_L2
S29_CKDN230030210-1A_HGKHYDSX7_L2.fasta	S29_L2
S2_CKDN230030185-1A_HGKHYDSX7_L2.fasta	S2_L2
S30_CKDN230030211-1A_HGKHYDSX7_L2.fasta	S30_L2
S31_CKDN230030212-1A_HGKHYDSX7_L2.fasta	S31_L2
S32_CKDN230030213-1A_HGLMJDSX7_L1.fasta	S32_L1
S37_CKDN230030218-1A_HGLMJDSX7_L1.fasta	S37_L1
S38_CKDN230030219-1A_HGLMJDSX7_L1.fasta	S38_L1
S3_CKDN230030186-1A_HGKHYDSX7_L2.fasta	S3_L2
S40_CKDN230030221-1A_HGLMJDSX7_L1.fasta	S40_L1
S43_CKDN230030224-1A_HGLMJDSX7_L1.fasta	S43_L1
S48_CKDN230030229-1A_HGLMJDSX7_L1.fasta	S48_L1
S49_CKDN230030230-1A_HGLMJDSX7_L1.fasta	S49_L1
S4_CKDN230030187-1A_HGKHYDSX7_L2.fasta	S4_L2
S4_CKDN230030187-1A_HGKYJDSX7_L3.fasta	S4_L3
S50_CKDN230030231-1A_HGLMJDSX7_L1.fasta	S50_L1
S51_CKDN230030232-1A_HGLMJDSX7_L1.fasta	S51_L1
S52_CKDN230030233-1A_HGLMJDSX7_L1.fasta	S52_L1
S53_CKDN230030234-1A_HGLMJDSX7_L1.fasta	S53_L1
S54_CKDN230030235-1A_HGLMJDSX7_L1.fasta	S54_L1
S56_CKDN230030237-1A_HGLMJDSX7_L1.fasta	S56_L1
S58_CKDN230030239-1A_HGLMJDSX7_L1.fasta	S58_L1
S5_CKDN230030188-1A_HGKHYDSX7_L2.fasta	S5_L2
S5_CKDN230030188-1A_HGLMJDSX7_L1.fasta	S5_L1
S60_CKDN230030241-1A_HGLMJDSX7_L1.fasta	S60_L1
S6_CKDN230030189-1A_HGKHYDSX7_L2.fasta	S6_L2
S7_CKDN230030190-1A_HGKHYDSX7_L2.fasta	S7_L2
